pmid,authors
15056618,"Rosin, Dalia|Schejter, Eyal|Volk, Talila|Shilo, Ben-Zion"
16973543,"Harper, Scott Q|Staber, Patrick D|Beck, Christine R|Fineberg, Sarah K|Stein, Colleen|Ochoa, Dalyz|Davidson, Beverly L"
18439902,"Kim, Hyun-Eui|Jiang, Xuejun|Du, Fenghe|Wang, Xiaodong"
15687388,"Westerhout, Ellen M|Ooms, Marcel|Vink, Monique|Das, Atze T|Berkhout, Ben"
17719003,"Jeanson-Leh, Laurence|Blondeau, Johanna|Galy, Anne"
14737111,"Liu, Xiaoqi|Yan, Shi|Zhou, Tianhua|Terada, Yasuhiko|Erikson, Raymond L"
14982870,"Zippo, Alessio|De Robertis, Alessandra|Bardelli, Monia|Galvagni, Federico|Oliviero, Salvatore"
18570965,"Chen, Mo|Payne, William S|Hunt, Henry|Zhang, Huanmin|Holmen, Sheri L|Dodgson, Jerry B"
16940756,"Li, Charles X|Parker, Amy|Menocal, Ellen|Xiang, Shuanglin|Borodyansky, Laura|Fruehauf, Johannes H"
17088212,"Rial Verde, Emiliano M|Lee-Osbourne, Jane|Worley, Paul F|Malinow, Roberto|Cline, Hollis T"
15826643,"Geldhof, P|Whitton, C|Gregory, W F|Blaxter, M|Knox, D P"
17055439,"St-Pierre, Julie|Drori, Stavit|Uldry, Marc|Silvaggi, Jessica M|Rhee, James|J&auml;ger, Sibylle|Handschin, Christoph|Zheng, Kangni|Lin, Jiandie|Yang, Wenli|Simon, David K|Bachoo, Robert|Spiegelman, Bruce M"
17612495,"Donner, Aaron Joseph|Szostek, Stephanie|Hoover, Jennifer Michelle|Espinosa, Joaquin Maximiliano"
17981135,"Kiyomitsu, Tomomi|Obuse, Chikashi|Yanagida, Mitsuhiro"
15843020,"Schubert, Steffen|Gr&uuml;nweller, Arnold|Erdmann, Volker A|Kurreck, Jens"
16449228,"Cheon, Hyang-Mi|Shin, Sang Woon|Bian, Guowu|Park, Jong-Hwa|Raikhel, Alexander S"
18628300,"Haraguchi, Tokuko|Kojidani, Tomoko|Koujin, Takako|Shimi, Takeshi|Osakada, Hiroko|Mori, Chie|Yamamoto, Akitsugu|Hiraoka, Yasushi"
11960009,"Sui, Guangchao|Soohoo, Christina|Affar, El Bachir|Gay, Fr&eacute;d&eacute;rique|Shi, Yujiang|Forrester, William C|Shi, Yang"
18628297,"Lee, Chung-Sheng|Dias, Anusha P|Jedrychowski, Mark|Patel, Arvind H|Hsu, Jeanne L|Reed, Robin"
16293572,"V&aacute;zquez-Manrique, Rafael P|Gonz&aacute;lez-Cabo, Pilar|Ros, Sheila|Aziz, Homera|Baylis, Howard A|Palau, Francesc"
18218692,"Jaques, Fabienne|Jousset, H&eacute;l&egrave;ne|Tomas, Alejandra|Prost, Anne-Lise|Wollheim, Claes B|Irminger, Jean-Claude|Demaurex, Nicolas|Halban, Philippe A"
15064771,"Yu, Erik Z|Li, Ying-Yue|Liu, Xiu-Huai|Kagan, Elliott|McCarron, Richard M"
16809667,"O'Rourke, Delia|Baban, Dilair|Demidova, Maria|Mott, Richard|Hodgkin, Jonathan"
